Box Title,Box UID,Box Status,Override,CSV Path,QC Expiry (h),Last In-Spec QC / Fallback,Latest Match Time,Reason,Used Parsed Time,Sample,Test Name,Expected,k*StdDev,Low,High,Latest Value,Timestamp Source,In Spec,Units
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2026-01-08 09:57:43,2026-01-08 09:57:43,System nominal,YES,AJ25,IBP - D86,161.38,5.46,155.92,166.84,161.97,parsed,YES,C
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2026-01-08 09:57:43,2026-01-08 09:57:43,System nominal,YES,AJ25,10% - D86,196.62,2.54,194.08,199.16,197.71,parsed,YES,C
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2026-01-08 09:57:43,2026-01-08 09:57:43,System nominal,YES,AJ25,50% - D86,257.08,1.76,255.32,258.84,258.7,parsed,YES,C
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2026-01-08 09:57:43,2026-01-08 09:57:43,System nominal,YES,AJ25,90% - D86,323.24,3.34,319.9,326.58,324.58,parsed,YES,C
Agilent GC,box_1870504657248,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2026-01-08 09:57:43,2026-01-08 09:57:43,System nominal,YES,AJ25,FBP - D86,354.51,4.24,350.27,358.75,355.36,parsed,YES,C
Multitek NS,box_1870507241056,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek NS/Parsed Data/Multitek NS_parsed.csv,24.00,2026-01-08 09:00:02,2026-01-08 09:00:02,System nominal,YES,AJ25,Sulfur - D5453,8.9,1.48,7.42,10.38,8.643,parsed,YES,mg/kg
Eraspec,box_1870507241920,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2026-01-07 09:35:21,2026-01-07 09:35:21,Warnings in: QC,YES,AJ24,API Gravity D4052-22,37.23,0.12,37.11,37.35,37.25,parsed,YES,API
Eraspec,box_1870507241920,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2026-01-07 09:35:21,2026-01-07 09:35:21,Warnings in: QC,YES,AJ24,IBP - D86,180.83,6.24,174.59,187.07,180.8,parsed,YES,C
Eraspec,box_1870507241920,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2026-01-07 09:35:21,2026-01-07 09:35:21,Warnings in: QC,YES,AJ24,10% - D86,211.93,2.6,209.33,214.53,211.9,parsed,YES,C
Eraspec,box_1870507241920,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2026-01-07 09:35:21,2026-01-07 09:35:21,Warnings in: QC,YES,AJ24,50% - D86,262.62,1.8,260.82,264.42,262.6,parsed,YES,C
Eraspec,box_1870507241920,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2026-01-07 09:35:21,2026-01-07 09:35:21,Warnings in: QC,YES,AJ24,90% - D86,328.16,3.2,324.96,331.36,328.2,parsed,YES,C
Eraspec,box_1870507241920,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,2026-01-07 09:35:21,2026-01-07 09:35:21,Warnings in: QC,YES,AJ24,FBP - D86,357.46,5.52,351.94,362.98,357.5,parsed,YES,C
PAC Flash 2,box_2201765855296,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 2/Pac Flash 2_parsed.csv,24.00,2026-01-08 08:41:24,2026-01-08 08:41:24,System nominal,YES,AJ25,Flash - D3828,57.74,2.94,54.8,60.68,57.5,parsed,YES,C
Auto Grabner,box_1840573737440,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Auto Grabner/Auto Grabner_parsed.csv,24.00,2026-01-08 09:05:25,2026-01-08 09:05:25,System nominal,YES,AJ25,Flash - D3828,57.74,2.94,54.8,60.68,58,parsed,YES,C
Mini Grabner,box_1840573738448,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Flash Results.csv,24.00,2026-01-08 11:12:30.410611,2026-01-08 11:12:30.410611,System nominal,NO,AJ25,Flash - D3828,57.74,2.94,54.8,60.68,57.8,file_mtime,YES,C
Multitek S,box_1840573733840,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek S/Parsed data/Multitek S_parsed.csv,24.00,2026-01-07 08:36:03,2026-01-07 08:36:03,Warnings in: QC,YES,AJ25,Sulfur - D5453,8.9,1.48,7.42,10.38,9.912,parsed,YES,mg/kg
