timestamp,box_uid,box_title,prev_status,new_status,reason
2025-12-17T15:59:38,box_1870507241056,Multitek NS,GREEN,YELLOW,Last in-spec QC is stale.
2025-12-17T21:00:10,box_1840573733840,Multitek S,GREEN,YELLOW,Last in-spec QC is stale.
2025-12-18T08:44:55,box_1840573738448,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-12-18T08:44:55,box_1834023730592,AQUAMAX KF,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-12-18T09:08:08,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-12-18T09:19:13,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-12-18T09:38:23,box_1870504657248,Agilent GC,GREEN,YELLOW,Last in-spec QC is stale.
2025-12-18T09:38:23,box_1870507241920,Eraspec,GREEN,RED,At least one watched test is out of spec or missing.
2025-12-18T09:51:29,box_1870507241920,Eraspec,RED,GREEN,All watched tests are within expected ranges.
2025-12-18T10:12:37,box_1840573737440,Auto Grabner,GREEN,YELLOW,Last in-spec QC is stale.
2025-12-18T10:40:49,box_1765996407293,Eraspec NIR,GREEN,YELLOW,Last in-spec QC is stale.
2025-12-18T14:04:05,box_1870504657248,Agilent GC,YELLOW,GREEN,All watched tests are within expected ranges.
2025-12-18T15:58:47,box_1840573733840,Multitek S,YELLOW,RED,At least one watched test is out of spec or missing.
2025-12-18T16:31:59,box_1870507241056,Multitek NS,YELLOW,GREEN,All watched tests are within expected ranges.
2025-12-19T08:39:06,box_2201765855296,PAC Flash 2,GREEN,RED,At least one watched test is out of spec or missing.
2025-12-19T08:41:08,box_1834023730592,AQUAMAX KF,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-12-19T08:52:12,box_1840573737440,Auto Grabner,YELLOW,GREEN,All watched tests are within expected ranges.
2025-12-19T09:51:34,box_1870507241920,Eraspec,GREEN,YELLOW,Last in-spec QC is stale.
2025-12-19T10:53:58,box_2301728638432,Viscocity,UNKNOWN,RED,At least one watched test is out of spec or missing.
2025-12-19T11:56:23,box_1870507241920,Eraspec,YELLOW,RED,At least one watched test is out of spec or missing.
2025-12-19T11:59:24,box_1870507241920,Eraspec,RED,GREEN,All watched tests are within expected ranges.
2025-12-19T12:08:28,box_1765996407293,Eraspec NIR,YELLOW,GREEN,All watched tests are within expected ranges.
2025-12-19T12:18:33,box_2301728638432,Viscocity,RED,UNKNOWN,Insufficient data for one or more tests.
2025-12-19T12:27:37,box_2301728638432,Viscocity,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-12-19T14:04:18,box_1870504657248,Agilent GC,GREEN,YELLOW,Last in-spec QC is stale.
2025-12-19T16:32:18,box_1870507241056,Multitek NS,GREEN,YELLOW,Last in-spec QC is stale (cached).
2025-12-19T16:38:20,box_2201765855296,PAC Flash 2,RED,GREEN,All watched tests are within expected ranges.
2025-12-19T17:13:25,box_2301728342368,Handheld API,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-12-19T17:27:41,box_1870504657248,Agilent GC,YELLOW,GREEN,All watched tests are within expected ranges.
2025-12-20T08:37:44,box_2096856031904,PAC Flash 1,GREEN,YELLOW,Last in-spec QC is stale.
2025-12-20T08:52:50,box_1840573737440,Auto Grabner,GREEN,YELLOW,Last in-spec QC is stale.
