Box Title,Box UID,Box Status,Override,CSV Path,QC Expiry (h),Last In-Spec QC / Fallback,Latest Match Time,Reason,Used Parsed Time,Sample,Test Name,Expected,k*StdDev,Low,High,Latest Value,Timestamp Source,In Spec,Units
Agilent GC,box_1870504657248,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-11-15 14:58:53,2025-11-15 14:58:53,Last in-spec QC is stale (cached).,YES,AJ24,90% - D86,328.16,3.2,324.96,331.36,325.58,parsed,YES,C
Multitek NS,box_1870507241056,RED,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek NS/Parsed Data/Multitek NS_parsed.csv,24.00,,2025-11-12 18:13:57,At least one watched test is out of spec or missing.,YES,AJ24,Sulfur - D5453,7.16,1.06,6.1,8.22,5.969,parsed,NO,mg/kg
Eraspec,box_1870507241920,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,2025-11-13 17:01:38,Insufficient data for one or more tests.,YES,AJ24,API Gravity D4052-22,37.23,0.12,37.11,37.35,37.21,parsed,YES,API
Eraspec,box_1870507241920,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,2025-11-13 17:01:38,Insufficient data for one or more tests.,YES,AJ24,IBP - D86,180.83,6.24,174.59,187.07,,parsed,,C
Eraspec,box_1870507241920,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,2025-11-13 17:01:38,Insufficient data for one or more tests.,YES,AJ24,10% - D86,211.93,2.6,209.33,214.53,,parsed,,C
Eraspec,box_1870507241920,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,2025-11-13 17:01:38,Insufficient data for one or more tests.,YES,AJ24,50% - D86,262.62,1.8,260.82,264.42,,parsed,,C
Eraspec,box_1870507241920,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,2025-11-13 17:01:38,Insufficient data for one or more tests.,YES,AJ24,90% - D86,328.16,3.2,324.96,331.36,,parsed,,C
Eraspec,box_1870507241920,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,2025-11-13 17:01:38,Insufficient data for one or more tests.,YES,AJ24,FBP - D86,357.46,5.52,351.94,362.98,,parsed,,C
Eraspec,box_1870507241920,UNKNOWN,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,2025-11-13 17:01:38,Insufficient data for one or more tests.,YES,SetaCheck 5%,Bio - D7371,5,0.5,4.5,5.5,,,,%
PAC Flash 2,box_2201765855296,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 2/Pac Flash 2_parsed.csv,24.00,2025-11-14 08:19:09,2025-11-14 08:19:09,Last in-spec QC is stale.,YES,AJ24,Flash - D3828,72.27,2.24,70.03,74.51,73,parsed,YES,C
Auto Grabner,box_1840573737440,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Auto Grabner/Auto Grabner_parsed.csv,24.00,2025-11-13 08:30:32,2025-11-13 08:30:32,Last in-spec QC is stale (cached).,YES,AJ24,Flash - D3828,72.27,2.24,70.03,74.51,72.5,parsed,YES,C
Mini Grabner,box_1840573738448,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Flash Results.csv,24.00,2025-11-16 00:00:35,2025-11-14 15:17:46.499210,Last in-spec QC is stale.,NO,AJ24,Flash - D3828,72.27,2.24,70.03,74.51,72.1,file_mtime,YES,C
