timestamp,box_uid,box_title,action,user,note
2025-09-17T15:48:13,box_1870507241920,Eraspec,DEAD-LINE: ON,,
2025-09-17T15:48:19,box_1870507241920,Eraspec,DEAD-LINE: OFF,RC,d
2025-09-17T15:53:21,box_1840573738448,Mini Grabner,DEAD-LINE: ON,RC,Test
2025-09-17T15:53:33,box_1840573738448,Mini Grabner,DEAD-LINE: OFF,RC,test again
2025-09-22T16:37:55,box_1840573737440,Auto Grabner,SERVICE,RC,test
2025-09-22T16:38:16,box_1840573737440,Auto Grabner,OFF,RC,test2
2025-09-23T09:16:08,box_1870507241056,Multitek NS,SERVICE: ON,RC,Service
2025-09-23T09:37:13,box_1870507241056,Multitek NS,SERVICE,Ryan,Was put ito service because its consistently out of spec.
2025-09-23T11:07:10,box_175810797800002,OptiMPP 2,SERVICE: ON,Ryan,Lift Actuator Error
2025-09-23T11:36:08,box_1870507241920,Eraspec,SERVICE: ON,Ryan,Pump Replacement - aralytics
2025-09-30T14:17:52,box_1870507241056,Multitek NS,DEAD-LINE,rc,3r
2025-09-30T14:18:26,box_1870507241056,Multitek NS,OFF,RC,test
2025-10-01T13:49:36,box_2301728638432,Viscocity,SERVICE: ON,rc,"i
"
2025-10-01T13:50:49,box_2301728638432,Viscocity,DEAD-LINE: ON,rc,yeye
2025-10-01T14:44:00,box_2301728638432,Viscocity,SERVICE: ON,r,r
2025-10-14T12:54:35,box_1870507241056,Multitek NS,SERVICE: OFF,Rayn C,"Tested 10ASTMS consistently at 7,will do corrective measurement of +2"
2025-10-15T16:48:54,box_175810797800002,OptiMPP 2,SERVICE: OFF,Ryan,"lift motor resolved with slight push back,certified working and in spec with CRm for Cp and PP"
2025-10-20T14:36:31,box_175810797800002,OptiMPP 2,SERVICE: OFF,Ryan,"Back into serviceagain
software glitch,elevator ficxed"
2025-11-06T10:33:20,box_1870507241920,Eraspec,SERVICE: OFF,Ryan,"Back in service,now its about getting it in spec."
