Equipment Name,Overall Status,Manual Override,Last Good QC,Latest Data Time,QC Expiry (h),Status Reason,Sample,Test,Expected Value,Tolerance (±),Low Limit,High Limit,Latest Value,Units,In Spec,Data Source
Agilent GC,GREEN,None,2026-04-15 15:20,2026-04-15 15:20,24,System nominal,Diesel - AF25,IBP - D86,167.3,8.14,159.2,175.4,169.6,C,✓ PASS,parsed
Agilent GC,GREEN,None,2026-04-15 15:20,2026-04-15 15:20,24,System nominal,Diesel - AF25,10% - D86,219.1,4,215.1,223.1,220.6,C,✓ PASS,parsed
Agilent GC,GREEN,None,2026-04-15 15:20,2026-04-15 15:20,24,System nominal,Diesel - AF25,50% - D86,283.7,1.92,281.8,285.6,284,C,✓ PASS,parsed
Agilent GC,GREEN,None,2026-04-15 15:20,2026-04-15 15:20,24,System nominal,Diesel - AF25,90% - D86,336.4,2.32,334.1,338.8,336.7,C,✓ PASS,parsed
Agilent GC,GREEN,None,2026-04-15 15:20,2026-04-15 15:20,24,System nominal,Diesel - AF25,FBP - D86,357.4,3.92,353.5,361.3,358.1,C,✓ PASS,parsed
Multitek NS,GREEN,None,2026-04-15 15:52,2026-04-15 15:52,24,System nominal,Diesel - AF25,Sulfur - D5453,7.79,1.34,6.45,9.13,8.052,mg/kg,✓ PASS,parsed
PAC Flash 2,GREEN,None,2026-04-16 08:36,2026-04-16 08:36,24,System nominal,Diesel - AF25,Flash - D3828,65.78,2.84,62.94,68.62,66.5,C,✓ PASS,parsed
Auto Grabner,GREEN,None,2026-04-16 08:44,2026-04-16 08:44,24,System nominal,Diesel - AF25,Flash - D3828,65.78,2.84,62.94,68.62,66,C,✓ PASS,parsed
Mini Grabner,GREEN,None,2026-04-16 10:25,2026-04-16 10:25,24,System nominal,Diesel - AF25,Flash - D3828,65.78,2.84,62.94,68.62,66.8,C,✓ PASS,file_mtime
Multitek S,YELLOW,None,2026-04-15 09:04,2026-04-15 09:04,24,Warnings in: QC,Diesel - AF25,Sulfur - D5453,7.79,1.34,6.45,9.13,7.578,mg/kg,✓ PASS,parsed
PAC Flash 1,GREEN,None,2026-04-16 08:33,2026-04-16 08:33,24,System nominal,Diesel - AF25,Flash - D3828,65.78,2.84,62.94,68.62,64.5,C,✓ PASS,parsed
Viscosity,GREEN,None,2026-04-16 11:14,2026-04-16 11:14,24,System nominal,Diesel - AF25,Viscosity - D445,3.179,0.0518,3.127,3.231,3.159,mm2/s,✓ PASS,file_mtime
